Experiment,Criterion,Rank,SourceCSV,ConfigName,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),NsPerIter,MBps,TotalRuntime(s),CompileTime(s),Status
hyper,Fastest TotalRuntime(s),1,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0355,1,early-taildup,DestinationPropagation,15026176,9888840.00,2120,3.104793,29.182094,Success
hyper,Fastest TotalRuntime(s),2,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0362,1,ifcvt-triangle-rev,DestinationPropagation,15027712,9959060.00,2105,3.112736,31.197899,Success
hyper,Fastest TotalRuntime(s),3,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0684,1,cgp-select2branch,GVN,15034880,9758270.00,2149,3.144868,32.718009,Success
hyper,Fastest TotalRuntime(s),4,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0365,1,cgp-ext-ld-promotion,DestinationPropagation,15027712,9701570.00,2161,3.170633,31.498079,Success
hyper,Fastest TotalRuntime(s),5,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0354,1,early-ifcvt,DestinationPropagation,15027712,9876320.00,2123,3.174285,29.189033,Success
hyper,Fastest TotalRuntime(s),6,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0678,1,machine-licm,GVN,14977536,9675160.00,2167,3.259591,31.185454,Success
hyper,Fastest TotalRuntime(s),7,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0353,1,chr,DestinationPropagation,15027712,10270850.00,2041,3.284421,29.705469,Success
hyper,Fastest TotalRuntime(s),8,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0672,1,vector-combine,GVN,15034880,8991670.00,2332,3.286102,28.560275,Success
hyper,Fastest TotalRuntime(s),9,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0674,1,lftr,GVN,15034368,9691030.00,2164,3.311790,30.704082,Success
hyper,Fastest TotalRuntime(s),10,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0357,1,ifcvt-forked-diamond,DestinationPropagation,15027712,10647050.00,1969,3.378527,37.557653,Success
hyper,Smallest BinarySize(Bytes),1,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0930,1,block-placement,InstSimplify-after-simplifycfg,14964224,7217370.00,2905,6.493763,24.963052,Success
hyper,Smallest BinarySize(Bytes),2,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0349,1,block-placement,DestinationPropagation,14964736,7394770.00,2835,6.951706,25.599743,Success
hyper,Smallest BinarySize(Bytes),3,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_ABL_017_disable-block-placement,1,block-placement,N/A,14967296,7501435.00,2795,7.174921,25.573607,Success
hyper,Smallest BinarySize(Bytes),4,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0100,1,block-placement,DataflowConstProp,14967296,7246515.00,2894,6.729855,25.637625,Success
hyper,Smallest BinarySize(Bytes),5,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0266,1,block-placement,DeadStoreElimination-initial,14967296,7332165.00,2860,6.949600,25.963521,Success
hyper,Smallest BinarySize(Bytes),6,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0432,1,block-placement,EarlyOtherwiseBranch,14967296,10249665.00,2046,8.450770,28.734480,Success
hyper,Smallest BinarySize(Bytes),7,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0515,1,block-placement,EnumSizeOpt,14967296,7334460.00,2859,6.938378,26.367210,Success
hyper,Smallest BinarySize(Bytes),8,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0598,1,block-placement,ForceInline,14967296,10258445.00,2044,8.339632,27.691522,Success
hyper,Smallest BinarySize(Bytes),9,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0764,1,block-placement,ImpossiblePredicates,14967296,7372905.00,2844,6.839520,24.758181,Success
hyper,Smallest BinarySize(Bytes),10,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_1013,1,block-placement,InstSimplify-before-inline,14967296,6802030.00,3083,6.490387,25.477998,Success
hyper,Shortest CompileTime(s),1,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_1175,1,lsr,MatchBranchSimplification,15026688,6498115.00,3227,6.218669,24.112126,Success
hyper,Shortest CompileTime(s),2,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_1171,1,advanced-peeling,MatchBranchSimplification,15028736,6712755.00,3124,6.485746,24.187530,Success
hyper,Shortest CompileTime(s),3,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_1206,3,icp,MatchBranchSimplification,15030272,6644060.00,3156,6.744148,24.205576,Success
hyper,Shortest CompileTime(s),4,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_1194,1,tail-duplicate,MatchBranchSimplification,15029760,6677260.00,3140,6.215609,24.232752,Success
hyper,Shortest CompileTime(s),5,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_0829,3,spill-fusing,ImpossiblePredicates,15043584,6964370.00,3011,7.230003,24.246864,Success
hyper,Shortest CompileTime(s),6,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_1170,2,vector-combine,MatchBranchSimplification,15030272,6717545.00,3121,6.969524,24.250755,Success
hyper,Shortest CompileTime(s),7,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_1198,2,separate-const-offset-from-gep,MatchBranchSimplification,15030272,6583465.00,3185,6.782912,24.273471,Success
hyper,Shortest CompileTime(s),8,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_1069,3,cgp-gc-opts,InstSimplify-before-inline,15029760,6824075.00,3073,7.044510,24.305256,Success
hyper,Shortest CompileTime(s),9,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_1076,2,peephole,InstSimplify-before-inline,15071232,6832160.00,3069,6.921071,24.317493,Success
hyper,Shortest CompileTime(s),10,d:\MIR_LLVM\mir_-llvm\hyper\mir_llvm_hybrid_py\20260319_180449\experiment_results.csv,EXP_DBL_1210,3,mergeicmps,MatchBranchSimplification,15030272,6546455.00,3203,6.793926,24.332655,Success
regex,Fastest TotalRuntime(s),1,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1638,1,last-run-tracking,UnreachablePropagation,43870920,,,7.756657,53.994080,Success
regex,Fastest TotalRuntime(s),2,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1297,1,preinline,ReferencePropagation,43600296,,,7.791694,55.064360,Success
regex,Fastest TotalRuntime(s),3,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_0710,2,machine-dce,GVN,43838776,,,7.855385,53.751036,Success
regex,Fastest TotalRuntime(s),4,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1117,3,cgp-delete-phis,JumpThreading,43404104,,,7.855431,45.497378,Success
regex,Fastest TotalRuntime(s),5,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_0854,3,ifcvt-diamond,Inline,43210432,,,7.859840,49.442156,Success
regex,Fastest TotalRuntime(s),6,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1267,2,early-ifcvt,ReferencePropagation,43600296,,,7.860348,56.920201,Success
regex,Fastest TotalRuntime(s),7,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1252,3,replace-with-vec-lib,ReferencePropagation,43600296,,,7.861579,57.017084,Success
regex,Fastest TotalRuntime(s),8,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1328,3,strictnode-mutation,ReferencePropagation,43600296,,,7.871928,53.489376,Success
regex,Fastest TotalRuntime(s),9,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1643,3,ra-fsprofile-loader,UnreachablePropagation,43870920,,,7.881740,53.054798,Success
regex,Fastest TotalRuntime(s),10,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1287,3,demotion,ReferencePropagation,43600296,,,7.889516,56.799592,Success
regex,Smallest BinarySize(Bytes),1,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_0847,1,block-placement,Inline,42537968,,,8.468723,51.177343,Success
regex,Smallest BinarySize(Bytes),2,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1096,1,block-placement,JumpThreading,42791176,,,8.026516,49.154134,Success
regex,Smallest BinarySize(Bytes),3,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1262,1,block-placement,ReferencePropagation,42919424,,,8.320353,56.611834,Success
regex,Smallest BinarySize(Bytes),4,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_0017,1,block-placement,CopyProp,42963680,,,14.691333,57.717131,Success
regex,Smallest BinarySize(Bytes),5,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_0266,1,block-placement,DeadStoreElimination-initial,43078224,,,46.212487,54.405858,Success
regex,Smallest BinarySize(Bytes),6,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1345,1,block-placement,ScalarReplacementOfAggregates,43118648,,,9.126914,53.666947,Success
regex,Smallest BinarySize(Bytes),7,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1428,1,block-placement,SingleUseConsts,43131208,,,8.215435,55.562859,Success
regex,Smallest BinarySize(Bytes),8,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1179,1,block-placement,MatchBranchSimplification,43150208,,,8.977590,60.558503,Success
regex,Smallest BinarySize(Bytes),9,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_0839,1,advanced-peeling,Inline,43151848,,,8.680596,52.211488,Success
regex,Smallest BinarySize(Bytes),10,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_000_ALL_OFF,1,None,All,43157752,,,8.680134,49.333731,Success
regex,Shortest CompileTime(s),1,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1119,2,constant-hoisting,JumpThreading,43397064,,,8.002690,42.583092,Success
regex,Shortest CompileTime(s),2,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1122,2,gep-const-evaluation,JumpThreading,43404024,,,8.105593,42.869985,Success
regex,Shortest CompileTime(s),3,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1123,1,icp,JumpThreading,43404024,,,7.935282,42.889058,Success
regex,Shortest CompileTime(s),4,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1117,1,cgp-delete-phis,JumpThreading,43404104,,,8.150752,42.898872,Success
regex,Shortest CompileTime(s),5,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1118,3,cleanups,JumpThreading,43404024,,,8.141664,43.078499,Success
regex,Shortest CompileTime(s),6,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1120,1,copyprop,JumpThreading,43398344,,,8.096808,43.194506,Success
regex,Shortest CompileTime(s),7,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1116,1,adv-copy-opt,JumpThreading,43403960,,,8.870443,43.328201,Success
regex,Shortest CompileTime(s),8,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1114,3,memop-opt,JumpThreading,43404024,,,7.990683,43.336414,Success
regex,Shortest CompileTime(s),9,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1121,2,demotion,JumpThreading,43404024,,,8.389634,43.501912,Success
regex,Shortest CompileTime(s),10,d:\MIR_LLVM\mir_-llvm\regex\mir_llvm_hybrid_py\20260310_224816\experiment_results.csv,EXP_DBL_1115,1,separate-const-offset-from-gep,JumpThreading,43404024,,,8.126449,43.537120,Success
ripgrep,Fastest TotalRuntime(s),1,d:\MIR_LLVM\mir_-llvm\ripgrep\results\experiment_results.csv,EXP_DBL_1092,3,lsr,JumpThreading,29635856,,,2.707740,42.522277,Success
ripgrep,Fastest TotalRuntime(s),2,d:\MIR_LLVM\mir_-llvm\ripgrep\results\experiment_results.csv,EXP_DBL_1497,2,interleaved-load-combine,UnreachableEnumBranching,29564544,,,2.725015,36.763204,Success
ripgrep,Fastest TotalRuntime(s),3,d:\MIR_LLVM\mir_-llvm\ripgrep\results\experiment_results.csv,EXP_DBL_1507,2,lsr,UnreachableEnumBranching,29613584,,,2.727787,36.741100,Success
ripgrep,Fastest TotalRuntime(s),4,d:\MIR_LLVM\mir_-llvm\ripgrep\results\experiment_results.csv,EXP_DBL_1009,3,lsr,InstSimplify-before-inline,29611528,,,2.728624,41.358386,Success
ripgrep,Fastest TotalRuntime(s),5,d:\MIR_LLVM\mir_-llvm\ripgrep\results\experiment_results.csv,EXP_DBL_1498,1,loop-idiom-vectorize-all,UnreachableEnumBranching,29564544,,,2.736120,36.819111,Success
ripgrep,Fastest TotalRuntime(s),6,d:\MIR_LLVM\mir_-llvm\ripgrep\results\experiment_results.csv,EXP_DBL_1023,2,ifcvt-simple-false,InstSimplify-before-inline,29564264,,,2.752940,42.559619,Success
ripgrep,Fastest TotalRuntime(s),7,d:\MIR_LLVM\mir_-llvm\ripgrep\results\experiment_results.csv,EXP_DBL_1499,1,loop-idiom-vectorize-bytecmp,UnreachableEnumBranching,29564544,,,2.753672,37.115607,Success
ripgrep,Fastest TotalRuntime(s),8,d:\MIR_LLVM\mir_-llvm\ripgrep\results\experiment_results.csv,EXP_DBL_1496,3,expand-reductions,UnreachableEnumBranching,29564520,,,2.759121,48.074047,Success
ripgrep,Fastest TotalRuntime(s),9,d:\MIR_LLVM\mir_-llvm\ripgrep\results\experiment_results.csv,EXP_DBL_1500,1,promote-alloca-to-vector,UnreachableEnumBranching,29564544,,,2.761720,37.049038,Success
ripgrep,Fastest TotalRuntime(s),10,d:\MIR_LLVM\mir_-llvm\ripgrep\results\experiment_results.csv,EXP_DBL_0981,2,thinlto-funcattrs,InstSimplify-after-simplifycfg,29601952,,,2.762305,42.560234,Success
ripgrep,Smallest BinarySize(Bytes),1,d:\MIR_LLVM\mir_-llvm\ripgrep\results\experiment_results.csv,EXP_DBL_0847,1,block-placement,Inline,28845272,,,3.479824,49.838118,Success
ripgrep,Smallest BinarySize(Bytes),2,d:\MIR_LLVM\mir_-llvm\ripgrep\results\experiment_results.csv,EXP_DBL_0839,1,advanced-peeling,Inline,29152896,,,6.231153,48.444648,Success
ripgrep,Smallest BinarySize(Bytes),3,d:\MIR_LLVM\mir_-llvm\ripgrep\results\experiment_results.csv,EXP_DBL_0876,1,machine-dce,Inline,29157912,,,3.342250,47.338011,Success
